,SL_n,BRC1_2_n,CK_n,Aux_n,ABA_n,PIN_1_3_4_7_n,Aux_Bud_n,SUC_n,GA_n,Decap_signal_n,CXE_n,SMXL6_7_8_n,FHY3_FAR1_n,SPL9_15_n,MAX2_n,D14_n,D27_n,MAX3_n,MAX4_n,MAX1_n,LBO_n,CLAMT_n,PhyB_n,PIFs_n,HB21_40_53_n,NCED3_n,,,,,,,,,
1706,0.811722626,0.375666933,5.702807557,0.542342826,0.358722493,10.92084399,2.555792164,2.299407983,1.001268027,1.627363047,1.648765466,1.277368375,0.525144114,0.857149309,1.16424732,1.002846416,1.519556506,1.406364119,1.509387911,1.61177158,1.238039138,1.742571335,2.142986337,1.92792401,0.234689117,0.273747184,,,,,,,,,
1707,2.035623263,0.447495448,0.37446101,1.083076175,1.443122251,0,0.546177677,0.286883822,0.887713657,0.510959481,0.719449816,1.511459834,1.337680744,0.523923871,0.51327209,1.622171235,1.164006782,0.992535762,1.350905182,1.21336555,1.119983254,1.034226075,0.467832452,0,0.535195876,0.724368891,,,,,,,,,
1708,6.925601598,0.372927004,4.131534347,0.802844794,0,2.385503286,2.557599912,1.409738037,4.811507727,1.796612169,0.550499452,1.62542565,1.738987118,0.089869235,0.979660437,1.395485124,1.447727198,2.221210645,1.255714992,1.922279912,2.101878908,2.920906458,1.681759739,1.259821003,0,0,,,,,,,,,
1709,5.119847004,2.648456093,1.53225781,2.351827764,1.754528055,0.343541002,0.677365534,1.107539161,0.480600933,1.261681719,1.001138683,0.795579144,0.962752696,2.330325253,1.433576961,2.000132712,1.011329323,2.515485272,9.073373483,9.584011768,3.761593602,10.08364875,1.047789294,0.509959096,0.71896446,0.942080947,,,,,,,,,
1710,0.070400996,0.442679576,3.791647382,0.751983498,3.344790558,3.116207784,0.179387448,1.54350249,0.116547639,1.377242551,2.350498394,2.287204125,1.211180743,1.158616483,1.051521144,1.93141637,0.32811638,0.737445757,0.357564597,0.295572145,0.134320984,0.073473971,1.568298897,0.948634683,0.780752743,1.295306635,,,,,,,,,
1711,40.23682476,0.386615404,0.857507129,2.440855913,0.0702784,1.422925933,1.806908368,1.146622514,2.884172333,0.764897095,1.650118975,0.032102318,0.273236785,1.867689103,1.365674775,0.156119574,1.146545794,2.414926781,10.28639643,21.86041703,18.07080204,28.02141648,2.644718572,0.760798157,0.596150842,1.042284042,,,,,,,,,
1712,0.53234558,1.358922988,0.742958474,1.400739078,2.201728242,2.039551926,1.994868528,1.21472093,1.299372081,1.288494446,0.900198708,1.035275167,0.671328098,1.944959754,1.509229863,2.5254307,0.440345858,2.264694863,7.06708521,0.796241848,0.36233609,0.398547171,0.318982055,0.271436015,1.206281819,1.374229903,,,,,,,,,
1713,17.60924506,0.745315446,0,1.818139682,0,0,0.688338526,0,0.606863888,0,1.115318039,1.29745247,0.316773367,1.878011065,0.714269243,0.926145764,0.549252855,1.544159115,4.928967932,8.207773273,12.73459194,6.293951002,1.249645733,0,0,0,,,,,,,,,
1714,0.60436273,0.806025692,2.324276316,0.513509174,1.004384707,1.572948566,1.076066091,3.023060703,0.877555308,2.366041644,2.030019985,1.753432847,1.462381736,1.310829079,0.774579002,0.721034001,0.443186327,0.552178852,0.626026282,1.344186297,0.878104508,0.400641969,0.37896311,1.542622595,1.152232977,0.624762139,,,,,,,,,
1715,1.224187508,1.628159467,3.455610586,1.445832202,3.81519684,0.358686077,0.594278929,3.220849905,1.323915658,1.756656001,2.341894411,0.885887765,0.542038189,1.076559171,1.0900529,1.645671819,0.99614751,1.092149843,2.601380877,1.937997595,1.560177631,0.7370075,0.261415602,1.289572044,1.338328783,2.691485394,,,,,,,,,
1716,0.982046854,0.49735882,7.157660658,0.863085945,2.163528398,1.598017747,1.450841066,2.928015372,1.83910751,2.908275515,0,0.147704311,0.787349054,0.65527896,1.228832003,1.451716947,1.053855633,1.726748281,3.317043003,3.117056187,0.665112387,2.997979169,1.054562771,0.35735283,0.584091167,1.036960145,,,,,,,,,
1717,978.6502539,0.058650771,6.216379324,1.362365818,0.135782492,5.587526697,2.047511146,3.750676,4.662373513,2.077188939,0,0.352655168,0.759069168,1.213263741,0.448689264,0,1.183122552,3.349790001,20.74444438,44.56436161,182.5107918,96.72569079,0.481572083,0,0.067738663,0.057381359,,,,,,,,,
1718,0,2.139598296,1.799190846,0.419097024,3.433680951,2.365373957,1.585527976,1.363832457,2.538925111,0.962416927,1.76152515,0.581823995,1.272217792,2.100843472,1.473983557,1.305114075,1.389523691,1.341462526,0.349275417,0.649042719,3.098159548,1.238859638,1.402691771,1.325368517,0.81802761,2.307832537,,,,,,,,,
1719,0,0.498997157,3.809079519,0.699855851,0.944986193,0.350051229,2.215829382,3.196974595,2.003106332,1.212305421,1.22192507,1.859155614,0.501560982,0.697798904,1.039197071,1.082616394,1.503026735,4.525930233,10.89937434,21.44929968,0,0,0.100681646,1.951586581,0.782791488,0.425128857,,,,,,,,,
1720,0,6.970671581,0.299644697,2.611788434,2.730572617,0.120643613,1.168448458,0.183441218,2.095165535,0.171163541,1.585918928,1.347271227,0.478429178,1.699706805,2.079188246,1.173387064,1.229102127,9.872124027,0,0,0,0,0.219166697,2.078265106,0.840081174,1.077162055,,,,,,,,,
