,SL_n,BRC1_2_n,CK_n,Aux_n,ABA_n,PIN_1_3_4_7_n,Aux_Bud_n,SUC_n,GA_n,Decap_signal_n,CXE_n,SMXL6_7_8_n,FHY3_FAR1_n,SPL9_15_n,MAX2_n,D14_n,D27_n,MAX3_n,MAX4_n,MAX1_n,LBO_n,CLAMT_n,PhyB_n,PIFs_n,HB21_40_53_n,NCED3_n
71,1.573292662,1.632301929,0.676643894,1.046689957,0.627495456,0.221795477,1.647405835,2.261464133,0,2.13011591,0.966001,2.080348904,0.551636667,1.247586783,0.712620077,1.163890839,0.216954605,0.640790718,0.649666549,1.754006438,0.671200778,0.935920675,1.349161888,1.633630759,0.733199073,1.261073819
72,1.130256132,2.100302565,1.158063276,1.076287162,0.53985768,0.343006145,1.217192172,2.269049792,0,2.423589809,0.875990346,2.124803014,0.306760219,0.577927605,0.319678884,1.146678881,0.515159451,0.875827111,0.766247057,1.321328117,0.995403506,0.690641976,1.251892878,1.980631552,1.018449636,1.094555476
73,1.153175875,1.53013228,1.141290118,1.651312525,0.948180383,0,1.561456534,2.347795415,0.094965953,2.148469521,0.774475399,2.169702426,0.565342741,0.882946899,0.334130997,1.084721163,0.463372719,1.526773583,0.845992619,1.553619366,1.300255155,0.342151139,1.871187104,1.79279937,0.972292063,0.657053211
74,1.457134179,1.531262255,1.241315467,1.157326861,0.339345605,0,1.758453676,1.944583513,0,2.546881582,0.41537279,2.129904331,0.75766792,1.53419576,0.281125497,0.89748536,0.779096911,1.170487174,0.596025623,1.153846349,1.188433316,0.539596634,1.14228673,1.546105513,0.766413225,0.435673823
75,1.27218518,2.669843026,0.933008637,1.363620094,1.171028533,0.179936395,1.940177101,1.966654357,0,2.014649171,0.307055816,1.957902362,0.620383855,0.845196563,0.505490413,1.631652484,0.917756179,2.020216532,0.637378919,1.460225932,0.65860244,1.272932039,1.24592458,1.71453038,1.099223125,0.576968676
76,1.433001103,2.061898894,1.093154905,1.419043029,0.644992436,0.045437265,0.940323529,2.028224718,0,2.830215814,0.882990559,2.289693558,0.235819753,0.690654621,0.471908892,1.337181365,1.076449397,1.075533692,1.102403416,1.872621065,0,0.410882309,1.704915769,1.489196935,0.911667277,0.616613815
77,1.242149414,1.452568784,1.172417933,0.617021388,0.584233391,0,1.564374051,1.976171616,0,1.885617247,0.211450122,2.317432042,0.748059341,0.699859193,0.410791042,1.028072997,1.398613363,1.502759035,0.696778824,2.443502328,1.10635899,0.383059525,1.249771143,1.913988392,0.805538262,0.471401462
78,1.133680033,1.802048455,1.018733175,0.956327571,0.629194431,0.039643628,1.660084705,2.003840253,0,2.49976663,0.568088849,1.773963146,0.436295466,1.34952452,0.796492426,1.316714194,0.474877248,1.046245594,0.948983328,1.891036803,0.185304595,1.01993864,1.677121952,1.806173695,0.885788123,1.346838317
79,1.425422085,1.531904776,0.986262296,2.2130891,1.058938732,0.104115287,1.043026478,1.994080526,0,2.563324424,0.82058578,2.267799227,0.261349104,0.715542897,0.397953933,1.408923593,0.585899677,1.181508898,1.205778775,0.907302928,1.055582432,0.70406149,1.301815887,1.933758091,1.358049665,1.020168679
80,1.357509961,1.574699483,1.147962736,1.98352665,1.110695203,0.852119005,1.157753917,2.382590445,0,2.306731241,0.91064599,2.318929595,0.779641162,1.47655757,0.745994124,0.949011484,0.805242785,0.890141985,0.943615668,0.650322091,0.512061888,0.560051842,1.517351575,1.742211841,1.108809361,0.877624493
81,1.227126222,1.64130754,0.902253565,1.348726443,0.807306199,0,1.463551269,1.866440668,0,2.262136317,0.925149578,1.422030631,0.325234169,1.640454478,0,0.985701596,0.128715145,0.771532868,0.564898915,1.049859775,0.416250212,0.690511955,1.314008157,1.727093531,0.972636268,0.91736561
82,1.323301664,1.425186937,0.98640377,1.58656303,0.585274528,0.426155649,1.611554,1.964772883,0,2.842443235,0.696381391,1.777448082,0.076368704,1.159059874,0.593531201,1.154597687,1.013515043,1.454858199,0.690367,2.005975262,0.825815226,0.5427495,0.799139982,1.248380176,1.006817891,0.865225402
83,0.862610092,1.695746242,1.171023338,1.448745161,0.571049569,0.27961987,1.273091079,1.954575839,0.233177157,2.140599139,0.721915196,2.621783631,0.116189309,1.371110784,0.416385763,1.09387765,0,1.102173257,1.01925027,2.443685329,0.69701824,0.66135113,1.651365511,1.821779523,0,0.608843435
84,0.849037294,1.512445675,1.222075537,0.937118459,1.068466983,0.147888442,1.63216004,1.849579993,0,1.750576087,0.367749848,2.004847805,0.354450277,1.862373969,0.504634445,1.42875809,0.88050018,0.492368938,0.706091096,2.022129693,0.935139499,0.913537263,1.018393572,1.617176188,0.544559937,0.248850115
85,0.884309117,1.679496454,0.714268329,1.262076228,1.212699326,0.127239119,0.778011149,1.960373928,0,2.045378308,0.927786611,2.202225568,0.62531801,1.199082432,0.657815535,1.433377084,0,0.897777508,0.476363546,2.015132974,1.464667253,1.087110608,1.356662528,2.021779215,0.926810838,0.479305005
86,1.072679569,2.048214953,0.795772389,1.923099928,0.966117056,0,0.977318996,2.465169636,0,1.944108122,0.649162278,2.557247164,0.241203803,1.709730506,0.019135179,1.438381345,0.613645501,1.219743071,0.248324615,1.890311731,0.823571756,0.14491763,1.25988974,1.883618173,1.624068948,0.955367338
87,0.659032357,1.574699306,1.447101057,0.501224767,0.958741377,0.00197036,0.857624629,2.112418662,0,2.08997975,1.049050983,1.874983078,0.919047931,1.818506861,0.067619541,1.048816669,0.373825607,1.064411015,0.442518507,1.580356561,1.013969273,0.479034749,1.475574333,2.10768127,1.087087999,0.967898971
88,0.534441145,2.33989929,0.930875548,1.458346494,0.358301244,0.022373518,1.254982411,2.188298563,0,3.014914097,1.047087812,2.081996678,0.238829747,1.33543742,0.564019798,1.186009417,0.83549632,0.929554841,0.741763572,1.00157747,0.562108438,0.998598934,1.070954076,2.100761377,0.724323928,1.176631435
